행정구역(시군구)별,성별,연령별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
서울특별시,여자,19세,주민등록연앙인구[명],명,58948,56530.5,53808.5,53717,50752,44379,42399.5
서울특별시,여자,20세,주민등록연앙인구[명],명,62185.5,60613.5,58530.5,56306,56496,53428.5,47651.5
서울특별시,여자,21세,주민등록연앙인구[명],명,65183.5,63735.5,62511,60981.5,59073.5,59250,56667
서울특별시,여자,22세,주민등록연앙인구[명],명,67387,67264.5,66353,65695.5,64573,62482,63046.5
서울특별시,여자,23세,주민등록연앙인구[명],명,72090.5,70996,71615,71498.5,71390,70016,67928
서울특별시,여자,24세,주민등록연앙인구[명],명,76504.5,75576,75238.5,76468,76569.5,76166.5,74840.5
서울특별시,여자,25세,주민등록연앙인구[명],명,75332,79456,79316,79508,80761.5,80565,80307.5
서울특별시,여자,26세,주민등록연앙인구[명],명,73744,77279,82214,82568,82877.5,83645.5,83249.5
서울특별시,여자,27세,주민등록연앙인구[명],명,74939.5,74549,78782.5,84358,84910.5,84404.5,84861.5
서울특별시,여자,28세,주민등록연앙인구[명],명,75370,75026.5,75272,80027.5,85612,85514.5,84746.5
서울특별시,여자,29세,주민등록연앙인구[명],명,75483,74912,74945.5,75403.5,80304,85265,84876
서울특별시,여자,30세,주민등록연앙인구[명],명,76681.5,74306.5,74097,74362,75013.5,79306,84048.5
서울특별시,여자,31세,주민등록연앙인구[명],명,77387.5,74915.5,73041.5,73121,73549.5,73612,77556.5
서울특별시,여자,32세,주민등록연앙인구[명],명,80588.5,75364,73236.5,71648.5,71984.5,71922.5,71787
서울특별시,여자,33세,주민등록연앙인구[명],명,86718,78254.5,73336,71387.5,70194.5,70199,70046.5
서울특별시,여자,34세,주민등록연앙인구[명],명,88845,84121.5,75862.5,71199.5,69739.5,68170,68108.5
서울특별시,여자,35세,주민등록연앙인구[명],명,87385,86190,81606.5,73791,69628,67801,66122
서울특별시,여자,36세,주민등록연앙인구[명],명,85844,84785,83601.5,79240,71961,67722.5,66016
서울특별시,여자,37세,주민등록연앙인구[명],명,77695.5,83626,82423,81393.5,77471,70068.5,65927
서울특별시,여자,38세,주민등록연앙인구[명],명,73921,75779,81425,80338.5,79574.5,75464,68346
서울특별시,여자,39세,주민등록연앙인구[명],명,75877.5,72285,74058.5,79704,78801,77658.5,73775.5
서울특별시,남자,19세,주민등록연앙인구[명],명,61695,58891,55955.5,55497,52192,45190.5,42696
서울특별시,남자,20세,주민등록연앙인구[명],명,64386,61217.5,58541,55725,55225.5,51775.5,45178.5
서울특별시,남자,21세,주민등록연앙인구[명],명,67028.5,63800,60644.5,58016,55287.5,54749,51817.5
서울특별시,남자,22세,주민등록연앙인구[명],명,69855.5,68091,64900,62151.5,59757.5,56943.5,57134
서울특별시,남자,23세,주민등록연앙인구[명],명,72892.5,71691.5,70009.5,66964,64379,61904,59556
서울특별시,남자,24세,주민등록연앙인구[명],명,74925,74769,73658,72099,69126,66387.5,64337.5
서울특별시,남자,25세,주민등록연앙인구[명],명,74140,77648.5,77732.5,76775,75383.5,72370.5,69955.5
서울특별시,남자,26세,주민등록연앙인구[명],명,72548,76389,80342.5,80913,80046.5,78464.5,75823
서울특별시,남자,27세,주민등록연앙인구[명],명,73541,74018,78226.5,82601.5,83117.5,81971.5,80773
서울특별시,남자,28세,주민등록연앙인구[명],명,73406,73958.5,74857,79383.5,83717.5,83808,83022
